group,dataset,rep,modification,plex,num,denom,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16
basal,Exp420,rep01,398.2529,10,Mitosis_CTRL1,Asynch_CTRL2,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_CTRL1,Asynch_CTRL2,Asynch_CTRL2,,,,,,,,,,,
basal,Exp422,rep02,494.3217,10,Mitosis_CTRL1,Asynch_CTRL2,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_CTRL1,Asynch_CTRL2,Asynch_CTRL2,,,,,,,,,,,
basal,Exp432,rep03,398.2529,10,Mitosis_CTRL1,Asynch_CTRL2,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_CTRL1,Asynch_CTRL2,Asynch_CTRL2,,,,,,,,,,,
basal,Exp424,rep04,494.3217,10,Mitosis_CTRL1,Asynch_CTRL2,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_CTRL1,Asynch_CTRL2,Asynch_CTRL2,,,,,,,,,,,
basal,Exp434,rep05,398.2529,10,Mitosis_CTRL1,Asynch_CTRL2,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_CTRL1,,,,Asynch_CTRL2,Asynch_CTRL2,,,,,,,,
basal,Exp476,rep06,398.2529,6,Mitosis_CTRL1,Asynch_CTRL2,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_CTRL1,Asynch_CTRL2,Asynch_CTRL2,Asynch_CTRL2,,,,,,,,,,
basal,Exp483,rep07,398.2529,6,Mitosis_CTRL1,Asynch_CTRL2,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_CTRL1,Asynch_CTRL2,Asynch_CTRL2,Asynch_CTRL2,,,,,,,,,,
basal,Exp489,rep08,398.2529,6,Mitosis_CTRL1,Asynch_CTRL2,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_CTRL1,Asynch_CTRL2,Asynch_CTRL2,Asynch_CTRL2,,,,,,,,,,
basal,Exp494,rep09,398.2529,6,Mitosis_CTRL1,Asynch_CTRL2,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_CTRL1,Asynch_CTRL2,Asynch_CTRL2,Asynch_CTRL2,,,,,,,,,,
all_original,Exp436,rep01,398.2529,10,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,,,,,
all_original,Exp441,rep02,398.2529,10,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,,,,,
all_original,Exp451,rep03,398.2529,10,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,,,,,
all_original,Exp456,rep04,398.2529,10,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,,,,,
all_original,Exp492,rep05,398.2529,10,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,,,,,
all_original,Exp420,rep06,398.2529,10,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_CTRL1,,,Mitosis_LPP1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,
all_original,Exp422,rep07,494.3217,10,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_CTRL1,,,Mitosis_LPP1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,
all_original,Exp424,rep08,494.3217,10,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_CTRL1,,,Mitosis_LPP1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,
all_original,Exp428,rep09,494.3217,10,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_CTRL1,,,Mitosis_LPP1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,
all_original,Exp432,rep10,398.2529,10,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_CTRL1,,,Mitosis_LPP1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,
all_original,Exp434,rep11,398.2529,10,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,,,
all_original,Exp471,rep12,398.2529,10,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,,,,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,,
asynch,Exp420,rep06,398.2529,10,Asynch_CTRL2,Asynch_LPP2,,,,Asynch_CTRL2,Asynch_CTRL2,,,,Asynch_LPP2,Asynch_LPP2,,,,,,
asynch,Exp422,rep07,494.3217,10,Asynch_CTRL2,Asynch_LPP2,,,,Asynch_CTRL2,Asynch_CTRL2,,,,Asynch_LPP2,Asynch_LPP2,,,,,,
asynch,Exp424,rep08,494.3217,10,Asynch_CTRL2,Asynch_LPP2,,,,Asynch_CTRL2,Asynch_CTRL2,,,,Asynch_LPP2,Asynch_LPP2,,,,,,
asynch,Exp428,rep09,494.3217,10,Asynch_CTRL2,Asynch_LPP2,,,,Asynch_CTRL2,Asynch_CTRL2,,,,Asynch_LPP2,Asynch_LPP2,,,,,,
asynch,Exp432,rep10,398.2529,10,Asynch_CTRL2,Asynch_LPP2,,,,Asynch_CTRL2,Asynch_CTRL2,,,,Asynch_LPP2,Asynch_LPP2,,,,,,
asynch,Exp434,rep11,398.2529,10,Asynch_CTRL2,Asynch_LPP2,,,,,,,Asynch_CTRL2,Asynch_CTRL2,Asynch_LPP2,Asynch_LPP2,,,,,,
adapted,Exp436,rep01,398.2529,10,Mitosis_CTRL3,Mitosis_LPP3,,,,,Mitosis_CTRL3,Mitosis_CTRL3,Mitosis_CTRL3,Mitosis_LPP3,Mitosis_LPP3,Mitosis_LPP3,,,,,,
adapted,Exp441,rep02,398.2529,10,Mitosis_CTRL3,Mitosis_LPP3,,,,,Mitosis_CTRL3,Mitosis_CTRL3,Mitosis_CTRL3,Mitosis_LPP3,Mitosis_LPP3,Mitosis_LPP3,,,,,,
adapted,Exp451,rep03,398.2529,10,Mitosis_CTRL3,Mitosis_LPP3,,,,,Mitosis_CTRL3,Mitosis_CTRL3,Mitosis_CTRL3,Mitosis_LPP3,Mitosis_LPP3,Mitosis_LPP3,,,,,,
adapted,Exp456,rep04,398.2529,10,Mitosis_CTRL3,Mitosis_LPP3,,,,,Mitosis_CTRL3,Mitosis_CTRL3,Mitosis_CTRL3,Mitosis_LPP3,Mitosis_LPP3,Mitosis_LPP3,,,,,,
adapted,Exp492,rep05,398.2529,10,Mitosis_CTRL3,Mitosis_LPP3,,,,,Mitosis_CTRL3,Mitosis_CTRL3,Mitosis_CTRL3,Mitosis_LPP3,Mitosis_LPP3,Mitosis_LPP3,,,,,,
limited_original,Exp436,rep01,398.2529,10,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,,,,,
limited_original,Exp441,rep02,398.2529,10,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,,,,,
limited_original,Exp451,rep03,398.2529,10,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,,,,,
limited_original,Exp456,rep04,398.2529,10,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,,,,,
limited_original,Exp492,rep05,398.2529,10,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,,,,,
denature,Exp203,rep01,398.2529,6,Mitosis_CTRL1,Mitosis_urea1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_urea1,Mitosis_urea1,Mitosis_urea1,,,,,,,,,,
denature,Exp205,rep02,398.2529,6,Mitosis_CTRL1,Mitosis_urea1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_urea1,Mitosis_urea1,Mitosis_urea1,,,,,,,,,,
phospho_lpp,Exp511,rep01,79.96633,6,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,,,,,
phospho_lpp,Exp512,rep02,79.96633,6,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,,,,,
phospho_lpp,Exp514,rep03,79.96633,6,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_CTRL1,Mitosis_CTRL1,Mitosis_LPP1,Mitosis_LPP1,,,,,,,,,,,,
phospho_asynch,Exp511,rep01,79.96633,6,Mitosis_CTRL1,Asynch_CTRL2,Mitosis_CTRL1,Mitosis_CTRL1,,,Asynch_CTRL2,Asynch_CTRL2,,,,,,,,,,
phospho_asynch,Exp512,rep02,79.96633,6,Mitosis_CTRL1,Asynch_CTRL2,Mitosis_CTRL1,Mitosis_CTRL1,,,Asynch_CTRL2,Asynch_CTRL2,,,,,,,,,,
phospho_asynch,Exp514,rep03,79.96633,6,Mitosis_CTRL1,Asynch_CTRL2,Mitosis_CTRL1,Mitosis_CTRL1,,,Asynch_CTRL2,Asynch_CTRL2,,,,,,,,,,
